s_0003[e]	(1->3)-beta-D-glucan [extracellular]
s_0938[e]	isobutyraldehyde [extracellular]
s_0956[e]	L-alanine [extracellular]
s_0962[e]	L-arabinitol [extracellular]
s_0964[e]	L-arabinose [extracellular]
s_0966[e]	L-arginine [extracellular]
s_0970[e]	L-asparagine [extracellular]
s_0974[e]	L-aspartate [extracellular]
s_0982[e]	L-cysteine [extracellular]
s_0990[e]	L-glucitol [extracellular]
s_0992[e]	L-glutamate [extracellular]
s_1000[e]	L-glutamine [extracellular]
s_1007[e]	L-histidine [extracellular]
s_1015[e]	L-homoserine [extracellular]
s_1017[e]	L-isoleucine [extracellular]
s_1022[e]	L-leucine [extracellular]
s_1026[e]	L-lysine [extracellular]
s_1030[e]	L-methionine [extracellular]
s_1033[e]	L-phenylalanine [extracellular]
s_1036[e]	L-proline [extracellular]
s_1041[e]	L-serine [extracellular]
s_1044[e]	L-sorbose [extracellular]
s_1046[e]	L-threonine [extracellular]
s_1049[e]	L-tryptophan [extracellular]
s_1052[e]	L-tyrosine [extracellular]
s_1057[e]	L-valine [extracellular]
s_1061[e]	lanosterol [extracellular]
s_1067[e]	laurate [extracellular]
s_1106[e]	maltose [extracellular]
s_1154[e]	myo-inositol [extracellular]
s_1186[e]	N,N'-diformyldityrosine [extracellular]
s_1220[e]	nicotinate [extracellular]
s_1225[e]	NMN [extracellular]
s_1250[e]	octanoate [extracellular]
s_1267[e]	ornithine [extracellular]
s_1272[e]	oxaloacetate [extracellular]
s_1277[e]	oxygen [extracellular]
s_1288[e]	palmitate [extracellular]
s_1295[e]	palmitoleate [extracellular]
s_1309[e]	pectin [extracellular]
s_1317[e]	phenethyl acetate [extracellular]
s_1319[e]	phenylacetaldehyde [extracellular]
s_1324[e]	phosphate [extracellular]
s_1374[e]	potassium [extracellular]
s_1390[e]	putrescine [extracellular]
s_1397[e]	pyridoxine [extracellular]
s_1400[e]	pyruvate [extracellular]
s_1406[e]	riboflavin [extracellular]
s_1418[e]	S-adenosyl-L-methionine [extracellular]
s_1425[e]	S-methyl-L-methionine [extracellular]
s_1435[e]	sn-glycero-3-phosphocholine [extracellular]
s_1438[e]	sodium [extracellular]
s_1440[e]	spermidine [extracellular]
s_1443[e]	spermine [extracellular]
s_1450[e]	stearate [extracellular]
s_1459[e]	succinate [extracellular]
s_1466[e]	sucrose [extracellular]
s_1468[e]	sulphate [extracellular]
s_1470[e]	sulphite [extracellular]
s_1472[e]	taurine [extracellular]
s_1476[e]	TDP [extracellular]
s_1490[e]	thiamine [extracellular]
s_1498[e]	TMP [extracellular]
s_1494[e]	thymidine [extracellular]
s_1530[e]	tryptophol [extracellular]
s_1551[e]	uracil [extracellular]
s_1553[e]	urea [extracellular]
s_1557[e]	uridine [extracellular]
s_0805[e]	H2O [extracellular]
s_1564[e]	xanthosine [extracellular]
s_1567[e]	xylitol [extracellular]
s_1571[e]	zymosterol [extracellular]
s_0450[c]	biomass [cytoplasm]
s_2766[e]	14-demethyllanosterol [extracellular]
s_2768[e]	ergosta-5,7,22,24(28)-tetraen-3beta-ol [extracellular]
s_2822[e]	butyrate [extracellular]
s_2824[e]	hexanoate [extracellular]
s_2826[e]	oleate [extracellular]
s_1163[e]	myristate [extracellular]
s_3715[e]	raffinose [extracellular]
s_3716[e]	melibiose [extracellular]
