Abbreviation	Description	Charged formula	Charge	Compartment	KEGG ID	ChEBI ID
s_0022[e]	(R)-carnitine [extracellular]	C7H15NO3	0	extracellular	C00318	CHEBI:16347
s_0023[m]	(R)-carnitine [mitochondrion]	C7H15NO3	0	mitochondrion	C00318	CHEBI:16347
s_0024[p]	(R)-carnitine [peroxisome]	C7H15NO3	0	peroxisome	C00318	CHEBI:16347
s_0025[c]	(R)-lactate [cytoplasm]	C3H5O3	-1	cytoplasm	C00256	CHEBI:16004
s_0026[e]	(R)-lactate [extracellular]	C3H5O3	-1	extracellular	C00256	CHEBI:16004
s_0027[m]	(R)-lactate [mitochondrion]	C3H5O3	-1	mitochondrion	C00256	CHEBI:16004
s_0028[c]	(R)-mevalonate [cytoplasm]	C6H11O4	-1	cytoplasm	C00418	CHEBI:36464
s_0029[e]	(R)-mevalonate [extracellular]	C6H11O4	-1	extracellular	C00418	CHEBI:36464
s_0030[c]	(R)-pantoate [cytoplasm]	C6H11O4	-1	cytoplasm	C00522	CHEBI:15980
s_0031[c]	(R)-pantothenate [cytoplasm]	C9H16NO5	-1	cytoplasm	C00864	CHEBI:29032
s_0032[e]	(R)-pantothenate [extracellular]	C9H16NO5	-1	extracellular	C00864	CHEBI:29032
s_0033[c]	(R)-S-lactoylglutathione [cytoplasm]	C13H20N3O8S	-1	cytoplasm	C03451	CHEBI:57474
s_0034[m]	(R)-S-lactoylglutathione [mitochondrion]	C13H20N3O8S	-1	mitochondrion	C03451	CHEBI:57474
s_0035[c]	(R,R)-2,3-butanediol [cytoplasm]	C4H10O2	0	cytoplasm	C03044	CHEBI:16982
s_0036[e]	(R,R)-2,3-butanediol [extracellular]	C4H10O2	0	extracellular	C03044	CHEBI:16982
s_0037[c]	(S)-2,3-epoxysqualene [cytoplasm]	C30H50O	0	cytoplasm	C01054	CHEBI:15441
s_0038[er]	(S)-2,3-epoxysqualene [endoplasmic reticulum]	C30H50O	0	endoplasmic reticulum	C01054	CHEBI:15441
s_0039[m]	(S)-2-acetyl-2-hydroxybutanoate [mitochondrion]	C6H9O4	-1	mitochondrion	C06006	CHEBI:49256
s_0042[p]	(R)-3-hydroxydecanoyl-CoA [peroxisome]	C31H54N7O18P3S	0	peroxisome	C05264	CHEBI:28325
s_0045[p]	(S)-3-hydroxyhexacosanoyl-CoA [peroxisome]	C47H86N7O18P3S	0	peroxisome		CHEBI:52976
s_0048[p]	(R)-3-hydroxylauroyl-CoA [peroxisome]	C33H58N7O18P3S	0	peroxisome	C05262	CHEBI:27668
s_0051[p]	(S)-3-hydroxypalmitoyl-CoA [peroxisome]	C37H66N7O18P3S	0	peroxisome	C05258	CHEBI:27402
s_0054[p]	(S)-3-hydroxytetradecanoyl-CoA [peroxisome]	C35H62N7O18P3S	0	peroxisome	C05260	CHEBI:27466
s_0056[c]	(S)-3-methyl-2-oxopentanoate [cytoplasm]	C6H9O3	-1	cytoplasm	C00671	CHEBI:35146
s_0058[e]	(S)-3-methyl-2-oxopentanoate [extracellular]	C6H9O3	-1	extracellular	C00671	CHEBI:35146
s_0060[m]	(S)-3-methyl-2-oxopentanoate [mitochondrion]	C6H9O3	-1	mitochondrion	C00671	CHEBI:35146
s_0061[c]	(S)-dihydroorotate [cytoplasm]	C5H5N2O4	-1	cytoplasm	C00337	CHEBI:30864
s_0062[c]	(S)-lactaldehyde [cytoplasm]	C3H6O2	0	cytoplasm	C00424	CHEBI:18041
s_0063[c]	(S)-lactate [cytoplasm]	C3H5O3	-1	cytoplasm	C00186	CHEBI:16651
s_0064[e]	(S)-lactate [extracellular]	C3H5O3	-1	extracellular	C00186	CHEBI:16651
s_0065[m]	(S)-lactate [mitochondrion]	C3H5O3	-1	mitochondrion	C00186	CHEBI:16651
s_0066[c]	(S)-malate [cytoplasm]	C4H4O5	-2	cytoplasm	C00149	CHEBI:15589
s_0067[e]	(S)-malate [extracellular]	C4H4O5	-2	extracellular	C00149	CHEBI:15589
s_0068[m]	(S)-malate [mitochondrion]	C4H4O5	-2	mitochondrion	C00149	CHEBI:15589
s_0069[p]	(S)-malate [peroxisome]	C4H4O5	-2	peroxisome	C00149	CHEBI:15589
s_0075[c]	1,3-bisphospho-D-glycerate [cytoplasm]	C3H4O10P2	-4	cytoplasm	C00236	CHEBI:57604
s_0076[c]	1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate [cytoplasm]	C12H13NO9P	-3	cytoplasm	C01302	CHEBI:58613
s_0077[c]	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide [cytoplasm]	C15H21N5O15P2	-4	cytoplasm	C04896	CHEBI:58435
s_0078[c]	1-(5-phosphoribosyl)-5'-AMP [cytoplasm]	C15H19N5O14P2	-4	cytoplasm	C02741	CHEBI:59457
s_0079[c]	1-(sn-glycero-3-phospho)-1D-myo-inositol [cytoplasm]	C9H18O11P	-1	cytoplasm	C01225	CHEBI:58444
s_0080[e]	1-(sn-glycero-3-phospho)-1D-myo-inositol [extracellular]	C9H18O11P	-1	extracellular	C01225	CHEBI:58444
s_0084[e]	1-acylglycerophosphocholine [extracellular]	C9H20NO7PR	1	extracellular	C04230	CHEBI:11230
s_0086[c]	1-C-(indol-3-yl)glycerol 3-phosphate [cytoplasm]	C11H12NO6P	-2	cytoplasm	C03506	CHEBI:60820
s_0087[c]	1-methylnicotinamide [cytoplasm]	C7H9N2O	1	cytoplasm	C02918	CHEBI:16797
s_0089[c]	1-phosphatidyl-1D-myo-inositol [cytoplasm]	C11H16O13PR2	-1	cytoplasm	C01194	CHEBI:57880
s_0116[c]	1-pyrroline-3-hydroxy-5-carboxylic acid [cytoplasm]	C5H6NO3	-1	cytoplasm	C04281	CHEBI:58509
s_0117[m]	1-pyrroline-3-hydroxy-5-carboxylic acid [mitochondrion]	C5H6NO3	-1	mitochondrion	C04281	CHEBI:58509
s_0118[c]	1-pyrroline-5-carboxylate [cytoplasm]	C5H6NO2	-1	cytoplasm	C04322	CHEBI:15893
s_0119[m]	1-pyrroline-5-carboxylate [mitochondrion]	C5H6NO2	-1	mitochondrion	C04322	CHEBI:15893
s_0120[c]	10-formyl-THF [cytoplasm]	C20H21N7O7	-2	cytoplasm	C00234	CHEBI:57454
s_0121[m]	10-formyl-THF [mitochondrion]	C20H21N7O7	-2	mitochondrion	C00234	CHEBI:57454
s_0122[c]	14-demethyllanosterol [cytoplasm]	C29H48O	0	cytoplasm	C05108	CHEBI:18364
s_0123[n]	1D-myo-inositol 1,3,4,5-tetrakisphosphate [nucleus]	C6H8O18P4	-8	nucleus	C01272	CHEBI:57895
s_0124[n]	1D-myo-inositol 1,4,5,6-tetrakisphosphate [nucleus]	C6H8O18P4	-8	nucleus	C11555	CHEBI:57627
s_0125[n]	1D-myo-inositol 1,4,5-trisphosphate [nucleus]	C6H9O15P3	-6	nucleus	C01245	CHEBI:203600
s_0126[c]	1D-myo-inositol 1-phosphate [cytoplasm]	C6H11O9P	-2	cytoplasm	C01177	CHEBI:58433
s_0127[er]	1D-myo-inositol 1-phosphate [endoplasmic reticulum]	C6H11O9P	-2	endoplasmic reticulum	C01177	CHEBI:58433
s_0129[m]	1D-myo-inositol 3-phosphate [mitochondrion]	C6H11O9P	-2	mitochondrion	C04006	CHEBI:58401
s_0131[c]	2',3'-cyclic AMP [cytoplasm]	C10H11N5O6P	-1	cytoplasm	C02353	CHEBI:60879
s_0132[c]	2'-deoxyadenosine [cytoplasm]	C10H13N5O3	0	cytoplasm	C00559	CHEBI:17256
s_0133[e]	2'-deoxyadenosine [extracellular]	C10H13N5O3	0	extracellular	C00559	CHEBI:17256
s_0134[c]	2'-deoxyguanosine [cytoplasm]	C10H13N5O4	0	cytoplasm	C00330	CHEBI:17172
s_0135[e]	2'-deoxyguanosine [extracellular]	C10H13N5O4	0	extracellular	C00330	CHEBI:17172
s_0136[c]	2'-deoxyinosine [cytoplasm]	C10H12N4O4	0	cytoplasm	C05512	CHEBI:28997
s_0137[e]	2'-deoxyinosine [extracellular]	C10H12N4O4	0	extracellular	C05512	CHEBI:28997
s_0138[c]	2'-deoxyuridine [cytoplasm]	C9H12N2O5	0	cytoplasm	C00526	CHEBI:16450
s_0139[e]	2'-deoxyuridine [extracellular]	C9H12N2O5	0	extracellular	C00526	CHEBI:16450
s_0140[c]	2,3-bisphospho-D-glyceric acid [cytoplasm]	C3H3O10P2	-5	cytoplasm	C01159	CHEBI:58248
s_0141[c]	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine [cytoplasm]	C9H14N5O8P	-2	cytoplasm	C01304	CHEBI:58614
s_0142[c]	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone [cytoplasm]	C9H18N5O8P	0	cytoplasm		CHEBI:52957
s_0143[c]	2-(3-amino-3-carboxypropyl)-L-histidine [cytoplasm]	C10H16N4O4	0	cytoplasm	C04441	CHEBI:17144
s_0144[c]	2-[3-carboxy-3-(methylammonio)propyl]-L-histidine [cytoplasm]	C11H18N4O4	0	cytoplasm	C04692	CHEBI:57784
s_0145[m]	2-acetamido-5-oxopentanoate [mitochondrion]	C7H10NO4	-1	mitochondrion	C01250	CHEBI:29123
s_0146[m]	2-acetyllactic acid [mitochondrion]	C5H7O4	-1	mitochondrion	C00900	CHEBI:57774
s_0147[c]	2-amino-3-carboxymuconate-6-semialdehyde [cytoplasm]	C7H5NO5	-2	cytoplasm		CHEBI:29044
s_0148[m]	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol [mitochondrion]	C7H9N5O2	0	mitochondrion	C01300	CHEBI:17083
s_0149[c]	2-dehydropantoate [cytoplasm]	C6H9O4	-1	cytoplasm	C00966	CHEBI:11561
s_0150[m]	2-dehydropantoate [mitochondrion]	C6H9O4	-1	mitochondrion	C00966	CHEBI:11561
s_0152[c]	2-deoxy-D-ribose [cytoplasm]	C5H10O4	0	cytoplasm	C01801	CHEBI:28816
s_0153[c]	2-deoxy-D-ribose 5-phosphate [cytoplasm]	C5H9O7P	-2	cytoplasm	C00673	CHEBI:57651
s_0154[m]	2-hexaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone [mitochondrion]	C38H56O4	0	mitochondrion	C05805	CHEBI:28753
s_0155[m]	2-hexaprenyl-6-methoxy-1,4-benzoquinone [mitochondrion]	C37H54O3	0	mitochondrion	C05803	CHEBI:27752
s_0156[m]	2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone [mitochondrion]	C38H56O3	0	mitochondrion	C05804	CHEBI:28711
s_0157[m]	2-hexaprenyl-6-methoxyphenol [mitochondrion]	C37H56O2	0	mitochondrion	C05802	CHEBI:1109
s_0158[c]	2-hydroxy-3-oxobutyl phosphate [cytoplasm]	C4H9O6P	0	cytoplasm	C15556	CHEBI:50606
s_0161[er]	2-hydroxyhexadecanal [endoplasmic reticulum]	C16H32O2	0	endoplasmic reticulum		CHEBI:50626
s_0162[c]	2-isopropylmalate [cytoplasm]	C7H10O5	-2	cytoplasm	C02504	CHEBI:28107
s_0163[e]	2-isopropylmalate [extracellular]	C7H10O5	-2	extracellular	C02504	CHEBI:28107
s_0164[m]	2-isopropylmalate [mitochondrion]	C7H10O5	-2	mitochondrion	C02504	CHEBI:28107
s_0165[c]	2-isopropylmaleic acid [cytoplasm]	C7H8O4	-2	cytoplasm	C02631	CHEBI:58085
s_0166[c]	2-methylbutanal [cytoplasm]	C5H10O	0	cytoplasm	C02223	CHEBI:16182
s_0167[e]	2-methylbutanal [extracellular]	C5H10O	0	extracellular	C02223	CHEBI:16182
s_0168[m]	2-methylbutanal [mitochondrion]	C5H10O	0	mitochondrion	C02223	CHEBI:16182
s_0169[c]	2-methylbutanol [cytoplasm]	C5H12O	0	cytoplasm		CHEBI:48945
s_0170[e]	2-methylbutanol [extracellular]	C5H12O	0	extracellular		CHEBI:48945
s_0171[m]	2-methylbutanol [mitochondrion]	C5H12O	0	mitochondrion		CHEBI:48945
s_0172[c]	2-methylbutyl acetate [cytoplasm]	C7H14O2	0	cytoplasm		CHEBI:50585
s_0173[e]	2-methylbutyl acetate [extracellular]	C7H14O2	0	extracellular		CHEBI:50585
s_0174[m]	2-methylcitrate [mitochondrion]	C7H7O7	-3	mitochondrion	C02225	CHEBI:15598
s_0176[c]	2-oxoadipic acid [cytoplasm]	C6H6O5	-2	cytoplasm	C00322	CHEBI:57499
s_0177[m]	2-oxoadipic acid [mitochondrion]	C6H6O5	-2	mitochondrion	C00322	CHEBI:57499
s_0178[c]	2-oxobutanoate [cytoplasm]	C4H5O3	-1	cytoplasm	C00109	CHEBI:16763
s_0179[m]	2-oxobutanoate [mitochondrion]	C4H5O3	-1	mitochondrion	C00109	CHEBI:16763
s_0180[c]	2-oxoglutarate [cytoplasm]	C5H4O5	-2	cytoplasm	C00026	CHEBI:16810
s_0181[e]	2-oxoglutarate [extracellular]	C5H4O5	-2	extracellular	C00026	CHEBI:16810
s_0182[m]	2-oxoglutarate [mitochondrion]	C5H4O5	-2	mitochondrion	C00026	CHEBI:16810
s_0183[n]	2-oxoglutarate [nucleus]	C5H4O5	-2	nucleus	C00026	CHEBI:16810
s_0184[p]	2-oxoglutarate [peroxisome]	C5H4O5	-2	peroxisome	C00026	CHEBI:16810
s_0185[c]	2-phenylethanol [cytoplasm]	C8H10O	0	cytoplasm	C05853	CHEBI:49000
s_0186[e]	2-phenylethanol [extracellular]	C8H10O	0	extracellular	C05853	CHEBI:49000
s_0187[m]	2-phenylethanol [mitochondrion]	C8H10O	0	mitochondrion	C05853	CHEBI:49000
s_0188[c]	2-phospho-D-glyceric acid [cytoplasm]	C3H4O7P	-3	cytoplasm	C00631	CHEBI:58289
s_0189[c]	geranylgeranyl diphosphate [cytoplasm]	C20H33O7P2	-3	cytoplasm	C00353	CHEBI:58756
s_0190[c]	farnesyl diphosphate [cytoplasm]	C15H25O7P2	-3	cytoplasm	C00448	CHEBI:175763
s_0191[m]	farnesyl diphosphate [mitochondrion]	C15H25O7P2	-3	mitochondrion	C00448	CHEBI:175763
s_0192[c]	3',5'-cyclic AMP [cytoplasm]	C10H11N5O6P	-1	cytoplasm	C00575	CHEBI:58165
s_0193[c]	3',5'-cyclic CMP [cytoplasm]	C9H11N3O7P	-1	cytoplasm	C00941	CHEBI:58003
s_0194[c]	3',5'-cyclic dAMP [cytoplasm]	C10H12N5O5P	0	cytoplasm	C00968	CHEBI:28074
s_0195[c]	3',5'-cyclic GMP [cytoplasm]	C10H11N5O7P	-1	cytoplasm	C00942	CHEBI:57746
s_0196[c]	3',5'-cyclic IMP [cytoplasm]	C10H11N4O7P	0	cytoplasm	C00943	CHEBI:27541
s_0197[c]	3'-dephospho-CoA [cytoplasm]	C21H33N7O13P2S	-2	cytoplasm	C00882	CHEBI:57328
s_0200[m]	3'-dephospho-CoA [mitochondrion]	C21H33N7O13P2S	-2	mitochondrion	C00882	CHEBI:57328
s_0201[c]	3'-phospho-5'-adenylyl sulfate [cytoplasm]	C10H11N5O13P2S	-4	cytoplasm	C00053	CHEBI:58339
s_0204[c]	3-(4-hydroxyphenyl)pyruvate [cytoplasm]	C9H7O4	-1	cytoplasm	C01179	CHEBI:36242
s_0206[p]	3-(4-hydroxyphenyl)pyruvate [peroxisome]	C9H7O4	-1	peroxisome	C01179	CHEBI:36242
s_0207[c]	3-(imidazol-4-yl)-2-oxopropyl dihydrogen phosphate [cytoplasm]	C6H7N2O5P	-2	cytoplasm	C01267	CHEBI:57766
s_0208[c]	3-aminopropanal [cytoplasm]	C3H8NO	1	cytoplasm	C02229	CHEBI:58374
s_0209[c]	3-dehydro-4-methylzymosterol [cytoplasm]	C28H44O	0	cytoplasm	C15816	CHEBI:50593
s_0210[c]	3-dehydroquinate [cytoplasm]	C7H9O6	-1	cytoplasm	C00944	CHEBI:32364
s_0211[c]	3-dehydroshikimate [cytoplasm]	C7H7O5	-1	cytoplasm	C02637	CHEBI:16630
s_0212[c]	3-hexaprenyl-4,5-dihydroxybenzoic acid [cytoplasm]	C37H53O4	-1	cytoplasm	C05200	CHEBI:58373
s_0213[m]	3-hexaprenyl-4,5-dihydroxybenzoic acid [mitochondrion]	C37H53O4	-1	mitochondrion	C05200	CHEBI:58373
s_0214[m]	3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid [mitochondrion]	C38H55O4	-1	mitochondrion	C05313	CHEBI:57916
s_0215[c]	3-hexaprenyl-4-hydroxybenzoic acid [cytoplasm]	C37H54O3	0	cytoplasm	C13425	CHEBI:31116
s_0216[m]	3-hexaprenyl-4-hydroxybenzoic acid [mitochondrion]	C37H54O3	0	mitochondrion	C13425	CHEBI:31116
s_0217[c]	3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate [cytoplasm]	C8H13O5	-1	cytoplasm		CHEBI:52960
s_0218[c]	3-hydroxy-3-methylglutaryl-CoA [cytoplasm]	C27H44N7O20P3S	0	cytoplasm	C00356	CHEBI:11814
s_0221[m]	3-hydroxy-3-methylglutaryl-CoA [mitochondrion]	C27H44N7O20P3S	0	mitochondrion	C00356	CHEBI:11814
s_0222[c]	3-hydroxy-L-kynurenine [cytoplasm]	C10H12N2O4	0	cytoplasm	C03227	CHEBI:17380
s_0224[c]	3-hydroxyanthranilate [cytoplasm]	C7H6NO3	-1	cytoplasm	C00632	CHEBI:36559
s_0229[p]	3-hydroxyoctadecanoyl-CoA [peroxisome]	C39H70N7O18P3S	0	peroxisome	C16217	CHEBI:50583
s_0231[er]	3-ketosphinganine [endoplasmic reticulum]	C18H38NO2	1	endoplasmic reticulum	C02934	CHEBI:58299
s_0232[c]	3-methyl-2-oxobutanoate [cytoplasm]	C5H7O3	-1	cytoplasm	C00141	CHEBI:11851
s_0233[m]	3-methyl-2-oxobutanoate [mitochondrion]	C5H7O3	-1	mitochondrion	C00141	CHEBI:11851
s_0234[c]	3-methylbutanal [cytoplasm]	C5H10O	0	cytoplasm	C07329	CHEBI:16638
s_0235[e]	3-methylbutanal [extracellular]	C5H10O	0	extracellular	C07329	CHEBI:16638
s_0236[m]	3-methylbutanal [mitochondrion]	C5H10O	0	mitochondrion	C07329	CHEBI:16638
s_0239[p]	3-oxodecanoyl-CoA [peroxisome]	C31H52N7O18P3S	0	peroxisome	C05265	CHEBI:28528
s_0243[p]	3-oxohexacosanoyl-CoA [peroxisome]	C47H84N7O18P3S	0	peroxisome		CHEBI:52977
s_0247[p]	3-oxolauroyl-CoA [peroxisome]	C33H56N7O18P3S	0	peroxisome	C05263	CHEBI:27868
s_0250[p]	3-oxooctadecanoyl-CoA [peroxisome]	C39H68N7O18P3S	0	peroxisome	C16216	CHEBI:50571
s_0253[p]	3-oxopalmitoyl-CoA [peroxisome]	C37H60N7O18P3S	-4	peroxisome	C05259	CHEBI:57349
s_0257[p]	3-oxotetradecanoyl-CoA [peroxisome]	C35H60N7O18P3S	0	peroxisome	C05261	CHEBI:28726
s_0258[c]	3-phospho-hydroxypyruvate [cytoplasm]	C3H2O7P	-3	cytoplasm	C03232	CHEBI:18110
s_0259[c]	3-phospho-serine [cytoplasm]	C3H6NO6P	-2	cytoplasm	C01005	CHEBI:57524
s_0260[c]	3-phosphonato-D-glycerate(3-) [cytoplasm]	C3H4O7P	-3	cytoplasm	C00197	CHEBI:58272
s_0261[c]	3-phosphoshikimic acid [cytoplasm]	C7H8O8P	-3	cytoplasm	C03175	CHEBI:145989
s_0262[c]	4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol [cytoplasm]	C29H46O	0	cytoplasm	C11455	CHEBI:17813
s_0263[c]	4,5-bis(diphospho)-1D-myo-inositol tetrakisphosphate [cytoplasm]	C6H20O30P8	0	cytoplasm		CHEBI:53066
s_0264[c]	4-(phosphonooxy)-L-threonine [cytoplasm]	C4H8NO7P	-2	cytoplasm	C06055	CHEBI:58452
s_0267[c]	4-amino-2-methyl-5-diphosphomethylpyrimidine [cytoplasm]	C6H8N3O7P2	-3	cytoplasm	C04752	CHEBI:57841
s_0268[c]	4-amino-2-methyl-5-phosphomethylpyrimidine [cytoplasm]	C6H8N3O4P	-2	cytoplasm	C04556	CHEBI:58354
s_0269[c]	4-amino-4-deoxychorismate [cytoplasm]	C10H9NO5	-2	cytoplasm	C11355	CHEBI:35181
s_0270[c]	4-amino-5-hydroxymethyl-2-methylpyrimidine [cytoplasm]	C6H9N3O	0	cytoplasm	C01279	CHEBI:16892
s_0271[c]	4-aminobenzoate [cytoplasm]	C7H6NO2	-1	cytoplasm	C00568	CHEBI:17836
s_0272[e]	4-aminobenzoate [extracellular]	C7H6NO2	-1	extracellular	C00568	CHEBI:17836
s_0273[m]	4-aminobenzoate [mitochondrion]	C7H6NO2	-1	mitochondrion	C00568	CHEBI:17836
s_0274[c]	4-aminobutanal [cytoplasm]	C4H10NO	1	cytoplasm	C00555	CHEBI:58264
s_0275[m]	4-aminobutanal [mitochondrion]	C4H10NO	1	mitochondrion	C00555	CHEBI:58264
s_0279[c]	4-diphospho-1D-myo-inositol pentakisphosphate [cytoplasm]	C6H19O27P7	0	cytoplasm		CHEBI:53064
s_0280[c]	4-guanidinobutanamide [cytoplasm]	C5H13N4O	1	cytoplasm	C03078	CHEBI:58365
s_0281[c]	4-guanidinobutanoic acid [cytoplasm]	C5H11N3O2	0	cytoplasm	C01035	CHEBI:15728
s_0282[c]	4-hydroxy-2-oxoglutarate [cytoplasm]	C5H4O6	-2	cytoplasm	C01127	CHEBI:17742
s_0283[m]	4-hydroxy-2-oxoglutarate [mitochondrion]	C5H4O6	-2	mitochondrion	C01127	CHEBI:17742
s_0284[p]	4-hydroxy-2-oxoglutarate [peroxisome]	C5H4O6	-2	peroxisome	C01127	CHEBI:17742
s_0285[c]	4-hydroxy-L-threonine [cytoplasm]	C4H9NO4	0	cytoplasm	C06056	CHEBI:28330
s_0286[c]	4-hydroxybenzoate [cytoplasm]	C7H5O3	-1	cytoplasm	C00156	CHEBI:17879
s_0287[m]	4-hydroxybenzoate [mitochondrion]	C7H5O3	-1	mitochondrion	C00156	CHEBI:17879
s_0290[m]	4-hydroxybenzoyl-CoA [mitochondrion]	C28H36N7O18P3S	-4	mitochondrion	C02949	CHEBI:57356
s_0291[c]	4-methyl-2-oxopentanoate [cytoplasm]	C6H9O3	-1	cytoplasm	C00233	CHEBI:17865
s_0292[m]	4-methyl-2-oxopentanoate [mitochondrion]	C6H9O3	-1	mitochondrion	C00233	CHEBI:17865
s_0293[c]	4-methyl-5-(2-phosphonooxyethyl)thiazole [cytoplasm]	C6H8NO4PS	-2	cytoplasm	C04327	CHEBI:58296
s_0294[c]	4-methylthio-2-oxobutanoate [cytoplasm]	C5H7O3S	-1	cytoplasm	C01180	CHEBI:16723
s_0295[c]	4-phospho-L-aspartate [cytoplasm]	C4H5NO7P	-3	cytoplasm	C03082	CHEBI:30407
s_0296[c]	4alpha-methylzymosterol [cytoplasm]	C28H46O	0	cytoplasm	C05103	CHEBI:1949
s_0297[c]	4beta-methylzymosterol-4alpha-carboxylic acid [cytoplasm]	C29H46O3	0	cytoplasm	C15808	CHEBI:50591
s_0298[c]	5'-adenylyl sulfate [cytoplasm]	C10H12N5O10PS	-2	cytoplasm	C00224	CHEBI:58243
s_0299[c]	5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole [cytoplasm]	C13H15N4O12P	-4	cytoplasm	C04823	CHEBI:58443
s_0300[c]	5'-phosphoribosyl-5-aminoimidazole [cytoplasm]	C8H13N3O7P	-1	cytoplasm	C03373	CHEBI:58592
s_0301[c]	5'-phosphoribosyl-N-formylglycineamide [cytoplasm]	C8H13N2O9P	-2	cytoplasm	C04376	CHEBI:58426
s_0302[c]	5'-phosphoribosyl-N-formylglycineamidine [cytoplasm]	C8H15N3O8P	-1	cytoplasm	C04640	CHEBI:58478
s_0303[c]	5'-S-methyl-5'-thioadenosine [cytoplasm]	C11H15N5O3S	0	cytoplasm	C00170	CHEBI:17509
s_0304[c]	5,10-methenyl-THF [cytoplasm]	C20H20N7O6	-1	cytoplasm	C00445	CHEBI:57455
s_0305[m]	5,10-methenyl-THF [mitochondrion]	C20H20N7O6	-1	mitochondrion	C00445	CHEBI:57455
s_0306[c]	5,10-methylenetetrahydrofolate [cytoplasm]	C20H21N7O6	-2	cytoplasm	C00143	CHEBI:12071
s_0307[m]	5,10-methylenetetrahydrofolate [mitochondrion]	C20H21N7O6	-2	mitochondrion	C00143	CHEBI:12071
s_0308[c]	5,6,7,8-tetrahydrofolyl-L-glutamic acid [cytoplasm]	C24H30N8O9	0	cytoplasm	C09332	CHEBI:27650
s_0309[c]	5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate [cytoplasm]	C6H20O30P8	0	cytoplasm		CHEBI:52965
s_0310[c]	5-(2-hydroxyethyl)-4-methylthiazole [cytoplasm]	C6H9NOS	0	cytoplasm	C04294	CHEBI:17957
s_0311[c]	5-(methylsulfanyl)-2,3-dioxopentyl phosphate [cytoplasm]	C6H9O6PS	-2	cytoplasm	C15650	CHEBI:58828
